"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"22",19931.4499232121,17007.5901484966,NA,18976.1281903067,18453.0571633247,19319.1651643273,19561.1936132457,19249.4487703975,19463.9157548949,19775.4565583636,19190.5678004133,19805.4055230873,19829.4147374261,19532.3769245246,19878.2398264126,NA,NA,NA,NA,NA,NA,NA,NA
"23",20621.1526800281,19048.4321099338,NA,20277.8186333601,20323.4060881661,20384.9062543256,19495.1424630178,19924.3069327115,20792.9414281306,20993.2462749327,20192.3598193835,19784.0290443941,19818.8163212763,20363.0378371713,19866.5318607737,NA,NA,NA,NA,NA,NA,NA,NA
"24",13472.088543494,11903.8500245582,NA,13710.3671925225,13562.6659377636,13773.7735833313,14025.4131376095,13374.3390095923,15457.0292387105,14709.7895412547,14028.3448526805,14658.160502558,14816.8813161571,14211.8507638293,14602.5975270346,NA,NA,NA,NA,NA,NA,NA,NA
"25",16877.2485638545,15787.8923346848,NA,17949.1213647866,17433.6715269331,17133.2980411944,16469.9012477443,17093.6117083191,17086.8805474274,17857.2402615319,17664.8046174617,17956.6348128907,17309.9298406097,18244.7360269146,18150.4073000965,NA,NA,NA,NA,NA,NA,NA,NA
"26",20366.816883473,17375.0254576352,NA,19422.1270374931,18102.0520986518,19027.7710932185,17853.3313774663,18742.7554571657,19855.9312197776,17892.4599740178,18290.4866067199,17936.0022669484,17621.5386538429,17822.7315816263,17799.9820912782,NA,NA,NA,NA,NA,NA,NA,NA
"27",22845.2276108425,22218.2841385115,NA,23545.9871325618,23102.2458410671,24069.1195768913,23363.3456617105,23854.4127058309,25954.8886466731,26450.5918506436,25979.9077329329,26270.297163814,25348.760269319,25555.0683965378,26280.5021289335,NA,NA,NA,NA,NA,NA,NA,NA
"28",21001.8514927682,17785.9737911044,NA,19977.2407180295,19850.3621312245,19937.4342473314,19714.0568746786,20212.2301242055,20563.4035855828,19988.1172222321,20938.3634176796,21345.7174690435,21418.4846356426,21829.9311017441,21438.2571696011,NA,NA,NA,NA,NA,NA,NA,NA
"29",23821.5479663552,22125.9712660088,NA,23400.488209606,24243.9480193915,25050.346384693,23978.4717523013,24391.5586682555,26076.2416106771,27535.907517459,26830.7482503347,27059.1086547445,28294.9232661357,27911.3439299193,27462.1104361338,NA,NA,NA,NA,NA,NA,NA,NA
"30",22972.752896725,20417.9668428776,NA,21347.3836171755,21315.7178303379,21907.5526453257,20161.0038814446,22735.0600751046,22454.280358807,20459.4514639423,21337.3134289577,21255.6902328801,19968.3828500977,20872.1542357098,20890.7753432715,NA,NA,NA,NA,NA,NA,NA,NA
"31",27012.0305157973,24849.6982223522,NA,25717.7462360774,26029.5425386408,26976.2199030943,26152.8383571761,26807.5242054093,26354.1544259645,26567.8984806808,27688.907696394,27630.5362557841,29136.4833312571,28260.7920079663,28665.4789514523,NA,NA,NA,NA,NA,NA,NA,NA
"32",19931.4499232121,17007.5901484966,NA,18976.1281903067,18453.0571633247,19319.1651643273,19561.1936132457,19249.4487703975,19463.9157548949,19775.4565583636,19190.5678004133,19805.4055230873,19829.4147374261,19532.3769245246,19878.2398264126,NA,NA,NA,NA,NA,NA,NA,NA
"33",20621.1526800281,19048.4321099338,NA,20277.8186333601,20323.4060881661,20384.9062543256,19495.1424630178,19924.3069327115,20792.9414281306,20993.2462749327,20192.3598193835,19784.0290443941,19818.8163212763,20363.0378371713,19866.5318607737,NA,NA,NA,NA,NA,NA,NA,NA
"34",13472.088543494,11903.8500245582,NA,13710.3671925225,13562.6659377636,13773.7735833313,14025.4131376095,13374.3390095923,15457.0292387105,14709.7895412547,14028.3448526805,14658.160502558,14816.8813161571,14211.8507638293,14602.5975270346,NA,NA,NA,NA,NA,NA,NA,NA
"35",16877.2485638545,15787.8923346848,NA,17949.1213647866,17433.6715269331,17133.2980411944,16469.9012477443,17093.6117083191,17086.8805474274,17857.2402615319,17664.8046174617,17956.6348128907,17309.9298406097,18244.7360269146,18150.4073000965,NA,NA,NA,NA,NA,NA,NA,NA
"36",20366.816883473,17375.0254576352,NA,19422.1270374931,18102.0520986518,19027.7710932185,17853.3313774663,18742.7554571657,19855.9312197776,17892.4599740178,18290.4866067199,17936.0022669484,17621.5386538429,17822.7315816263,17799.9820912782,NA,NA,NA,NA,NA,NA,NA,NA
"37",22845.2276108425,22218.2841385115,NA,23545.9871325618,23102.2458410671,24069.1195768913,23363.3456617105,23854.4127058309,25954.8886466731,26450.5918506436,25979.9077329329,26270.297163814,25348.760269319,25555.0683965378,26280.5021289335,NA,NA,NA,NA,NA,NA,NA,NA
"38",21001.8514927682,17785.9737911044,NA,19977.2407180295,19850.3621312245,19937.4342473314,19714.0568746786,20212.2301242055,20563.4035855828,19988.1172222321,20938.3634176796,21345.7174690435,21418.4846356426,21829.9311017441,21438.2571696011,NA,NA,NA,NA,NA,NA,NA,NA
"39",23821.5479663552,22125.9712660088,NA,23400.488209606,24243.9480193915,25050.346384693,23978.4717523013,24391.5586682555,26076.2416106771,27535.907517459,26830.7482503347,27059.1086547445,28294.9232661357,27911.3439299193,27462.1104361338,NA,NA,NA,NA,NA,NA,NA,NA
"40",22972.752896725,20417.9668428776,NA,21347.3836171755,21315.7178303379,21907.5526453257,20161.0038814446,22735.0600751046,22454.280358807,20459.4514639423,21337.3134289577,21255.6902328801,19968.3828500977,20872.1542357098,20890.7753432715,NA,NA,NA,NA,NA,NA,NA,NA
"41",27012.0305157973,24849.6982223522,NA,25717.7462360774,26029.5425386408,26976.2199030943,26152.8383571761,26807.5242054093,26354.1544259645,26567.8984806808,27688.907696394,27630.5362557841,29136.4833312571,28260.7920079663,28665.4789514523,NA,NA,NA,NA,NA,NA,NA,NA
"42",19931.4499232121,17007.5901484966,NA,18976.1281903067,18453.0571633247,19319.1651643273,19561.1936132457,19249.4487703975,19463.9157548949,19775.4565583636,19190.5678004133,19805.4055230873,19829.4147374261,19532.3769245246,19878.2398264126,NA,NA,NA,NA,NA,NA,NA,NA
"43",20621.1526800281,19048.4321099338,NA,20277.8186333601,20323.4060881661,20384.9062543256,19495.1424630178,19924.3069327115,20792.9414281306,20993.2462749327,20192.3598193835,19784.0290443941,19818.8163212763,20363.0378371713,19866.5318607737,NA,NA,NA,NA,NA,NA,NA,NA
"44",13472.088543494,11903.8500245582,NA,13710.3671925225,13562.6659377636,13773.7735833313,14025.4131376095,13374.3390095923,15457.0292387105,14709.7895412547,14028.3448526805,14658.160502558,14816.8813161571,14211.8507638293,14602.5975270346,NA,NA,NA,NA,NA,NA,NA,NA
"45",16877.2485638545,15787.8923346848,NA,17949.1213647866,17433.6715269331,17133.2980411944,16469.9012477443,17093.6117083191,17086.8805474274,17857.2402615319,17664.8046174617,17956.6348128907,17309.9298406097,18244.7360269146,18150.4073000965,NA,NA,NA,NA,NA,NA,NA,NA
"46",20366.816883473,17375.0254576352,NA,19422.1270374931,18102.0520986518,19027.7710932185,17853.3313774663,18742.7554571657,19855.9312197776,17892.4599740178,18290.4866067199,17936.0022669484,17621.5386538429,17822.7315816263,17799.9820912782,NA,NA,NA,NA,NA,NA,NA,NA
"47",22845.2276108425,22218.2841385115,NA,23545.9871325618,23102.2458410671,24069.1195768913,23363.3456617105,23854.4127058309,25954.8886466731,26450.5918506436,25979.9077329329,26270.297163814,25348.760269319,25555.0683965378,26280.5021289335,NA,NA,NA,NA,NA,NA,NA,NA
"48",21001.8514927682,17785.9737911044,NA,19977.2407180295,19850.3621312245,19937.4342473314,19714.0568746786,20212.2301242055,20563.4035855828,19988.1172222321,20938.3634176796,21345.7174690435,21418.4846356426,21829.9311017441,21438.2571696011,NA,NA,NA,NA,NA,NA,NA,NA
"49",23821.5479663552,22125.9712660088,NA,23400.488209606,24243.9480193915,25050.346384693,23978.4717523013,24391.5586682555,26076.2416106771,27535.907517459,26830.7482503347,27059.1086547445,28294.9232661357,27911.3439299193,27462.1104361338,NA,NA,NA,NA,NA,NA,NA,NA
"50",22972.752896725,20417.9668428776,NA,21347.3836171755,21315.7178303379,21907.5526453257,20161.0038814446,22735.0600751046,22454.280358807,20459.4514639423,21337.3134289577,21255.6902328801,19968.3828500977,20872.1542357098,20890.7753432715,NA,NA,NA,NA,NA,NA,NA,NA
"51",27012.0305157973,24849.6982223522,NA,25717.7462360774,26029.5425386408,26976.2199030943,26152.8383571761,26807.5242054093,26354.1544259645,26567.8984806808,27688.907696394,27630.5362557841,29136.4833312571,28260.7920079663,28665.4789514523,NA,NA,NA,NA,NA,NA,NA,NA
"52",19931.4499232121,17007.5901484966,NA,18976.1281903067,18453.0571633247,19319.1651643273,19561.1936132457,19249.4487703975,19463.9157548949,19775.4565583636,19190.5678004133,19805.4055230873,19829.4147374261,19532.3769245246,19878.2398264126,NA,NA,NA,NA,NA,NA,NA,NA
"53",20621.1526800281,19048.4321099338,NA,20277.8186333601,20323.4060881661,20384.9062543256,19495.1424630178,19924.3069327115,20792.9414281306,20993.2462749327,20192.3598193835,19784.0290443941,19818.8163212763,20363.0378371713,19866.5318607737,NA,NA,NA,NA,NA,NA,NA,NA
"54",13472.088543494,11903.8500245582,NA,13710.3671925225,13562.6659377636,13773.7735833313,14025.4131376095,13374.3390095923,15457.0292387105,14709.7895412547,14028.3448526805,14658.160502558,14816.8813161571,14211.8507638293,14602.5975270346,NA,NA,NA,NA,NA,NA,NA,NA
"55",16877.2485638545,15787.8923346848,NA,17949.1213647866,17433.6715269331,17133.2980411944,16469.9012477443,17093.6117083191,17086.8805474274,17857.2402615319,17664.8046174617,17956.6348128907,17309.9298406097,18244.7360269146,18150.4073000965,NA,NA,NA,NA,NA,NA,NA,NA
"56",20366.816883473,17375.0254576352,NA,19422.1270374931,18102.0520986518,19027.7710932185,17853.3313774663,18742.7554571657,19855.9312197776,17892.4599740178,18290.4866067199,17936.0022669484,17621.5386538429,17822.7315816263,17799.9820912782,NA,NA,NA,NA,NA,NA,NA,NA
"57",22845.2276108425,22218.2841385115,NA,23545.9871325618,23102.2458410671,24069.1195768913,23363.3456617105,23854.4127058309,25954.8886466731,26450.5918506436,25979.9077329329,26270.297163814,25348.760269319,25555.0683965378,26280.5021289335,NA,NA,NA,NA,NA,NA,NA,NA
"58",21001.8514927682,17785.9737911044,NA,19977.2407180295,19850.3621312245,19937.4342473314,19714.0568746786,20212.2301242055,20563.4035855828,19988.1172222321,20938.3634176796,21345.7174690435,21418.4846356426,21829.9311017441,21438.2571696011,NA,NA,NA,NA,NA,NA,NA,NA
"59",23821.5479663552,22125.9712660088,NA,23400.488209606,24243.9480193915,25050.346384693,23978.4717523013,24391.5586682555,26076.2416106771,27535.907517459,26830.7482503347,27059.1086547445,28294.9232661357,27911.3439299193,27462.1104361338,NA,NA,NA,NA,NA,NA,NA,NA
"60",22972.752896725,20417.9668428776,NA,21347.3836171755,21315.7178303379,21907.5526453257,20161.0038814446,22735.0600751046,22454.280358807,20459.4514639423,21337.3134289577,21255.6902328801,19968.3828500977,20872.1542357098,20890.7753432715,NA,NA,NA,NA,NA,NA,NA,NA
"61",27012.0305157973,24849.6982223522,NA,25717.7462360774,26029.5425386408,26976.2199030943,26152.8383571761,26807.5242054093,26354.1544259645,26567.8984806808,27688.907696394,27630.5362557841,29136.4833312571,28260.7920079663,28665.4789514523,NA,NA,NA,NA,NA,NA,NA,NA
"62",19931.4499232121,17007.5901484966,NA,18976.1281903067,18453.0571633247,19319.1651643273,19561.1936132457,19249.4487703975,19463.9157548949,19775.4565583636,19190.5678004133,19805.4055230873,19829.4147374261,19532.3769245246,19878.2398264126,NA,NA,NA,NA,NA,NA,NA,NA
"63",20621.1526800281,19048.4321099338,NA,20277.8186333601,20323.4060881661,20384.9062543256,19495.1424630178,19924.3069327115,20792.9414281306,20993.2462749327,20192.3598193835,19784.0290443941,19818.8163212763,20363.0378371713,19866.5318607737,NA,NA,NA,NA,NA,NA,NA,NA
"64",13472.088543494,11903.8500245582,NA,13710.3671925225,13562.6659377636,13773.7735833313,14025.4131376095,13374.3390095923,15457.0292387105,14709.7895412547,14028.3448526805,14658.160502558,14816.8813161571,14211.8507638293,14602.5975270346,NA,NA,NA,NA,NA,NA,NA,NA
"65",16877.2485638545,15787.8923346848,NA,17949.1213647866,17433.6715269331,17133.2980411944,16469.9012477443,17093.6117083191,17086.8805474274,17857.2402615319,17664.8046174617,17956.6348128907,17309.9298406097,18244.7360269146,18150.4073000965,NA,NA,NA,NA,NA,NA,NA,NA
"66",20366.816883473,17375.0254576352,NA,19422.1270374931,18102.0520986518,19027.7710932185,17853.3313774663,18742.7554571657,19855.9312197776,17892.4599740178,18290.4866067199,17936.0022669484,17621.5386538429,17822.7315816263,17799.9820912782,NA,NA,NA,NA,NA,NA,NA,NA
"67",22845.2276108425,22218.2841385115,NA,23545.9871325618,23102.2458410671,24069.1195768913,23363.3456617105,23854.4127058309,25954.8886466731,26450.5918506436,25979.9077329329,26270.297163814,25348.760269319,25555.0683965378,26280.5021289335,NA,NA,NA,NA,NA,NA,NA,NA
"68",21001.8514927682,17785.9737911044,NA,19977.2407180295,19850.3621312245,19937.4342473314,19714.0568746786,20212.2301242055,20563.4035855828,19988.1172222321,20938.3634176796,21345.7174690435,21418.4846356426,21829.9311017441,21438.2571696011,NA,NA,NA,NA,NA,NA,NA,NA
"69",23821.5479663552,22125.9712660088,NA,23400.488209606,24243.9480193915,25050.346384693,23978.4717523013,24391.5586682555,26076.2416106771,27535.907517459,26830.7482503347,27059.1086547445,28294.9232661357,27911.3439299193,27462.1104361338,NA,NA,NA,NA,NA,NA,NA,NA
"70",22972.752896725,20417.9668428776,NA,21347.3836171755,21315.7178303379,21907.5526453257,20161.0038814446,22735.0600751046,22454.280358807,20459.4514639423,21337.3134289577,21255.6902328801,19968.3828500977,20872.1542357098,20890.7753432715,NA,NA,NA,NA,NA,NA,NA,NA
"71",27012.0305157973,24849.6982223522,NA,25717.7462360774,26029.5425386408,26976.2199030943,26152.8383571761,26807.5242054093,26354.1544259645,26567.8984806808,27688.907696394,27630.5362557841,29136.4833312571,28260.7920079663,28665.4789514523,NA,NA,NA,NA,NA,NA,NA,NA
"72",19931.4499232121,17007.5901484966,NA,18976.1281903067,18453.0571633247,19319.1651643273,19561.1936132457,19249.4487703975,19463.9157548949,19775.4565583636,19190.5678004133,19805.4055230873,19829.4147374261,19532.3769245246,19878.2398264126,NA,NA,NA,NA,NA,NA,NA,NA
"73",20621.1526800281,19048.4321099338,NA,20277.8186333601,20323.4060881661,20384.9062543256,19495.1424630178,19924.3069327115,20792.9414281306,20993.2462749327,20192.3598193835,19784.0290443941,19818.8163212763,20363.0378371713,19866.5318607737,NA,NA,NA,NA,NA,NA,NA,NA
"74",13472.088543494,11903.8500245582,NA,13710.3671925225,13562.6659377636,13773.7735833313,14025.4131376095,13374.3390095923,15457.0292387105,14709.7895412547,14028.3448526805,14658.160502558,14816.8813161571,14211.8507638293,14602.5975270346,NA,NA,NA,NA,NA,NA,NA,NA
"75",16877.2485638545,15787.8923346848,NA,17949.1213647866,17433.6715269331,17133.2980411944,16469.9012477443,17093.6117083191,17086.8805474274,17857.2402615319,17664.8046174617,17956.6348128907,17309.9298406097,18244.7360269146,18150.4073000965,NA,NA,NA,NA,NA,NA,NA,NA
"76",20366.816883473,17375.0254576352,NA,19422.1270374931,18102.0520986518,19027.7710932185,17853.3313774663,18742.7554571657,19855.9312197776,17892.4599740178,18290.4866067199,17936.0022669484,17621.5386538429,17822.7315816263,17799.9820912782,NA,NA,NA,NA,NA,NA,NA,NA
"77",22845.2276108425,22218.2841385115,NA,23545.9871325618,23102.2458410671,24069.1195768913,23363.3456617105,23854.4127058309,25954.8886466731,26450.5918506436,25979.9077329329,26270.297163814,25348.760269319,25555.0683965378,26280.5021289335,NA,NA,NA,NA,NA,NA,NA,NA
"78",21001.8514927682,17785.9737911044,NA,19977.2407180295,19850.3621312245,19937.4342473314,19714.0568746786,20212.2301242055,20563.4035855828,19988.1172222321,20938.3634176796,21345.7174690435,21418.4846356426,21829.9311017441,21438.2571696011,NA,NA,NA,NA,NA,NA,NA,NA
"79",23821.5479663552,22125.9712660088,NA,23400.488209606,24243.9480193915,25050.346384693,23978.4717523013,24391.5586682555,26076.2416106771,27535.907517459,26830.7482503347,27059.1086547445,28294.9232661357,27911.3439299193,27462.1104361338,NA,NA,NA,NA,NA,NA,NA,NA
"80",22972.752896725,20417.9668428776,NA,21347.3836171755,21315.7178303379,21907.5526453257,20161.0038814446,22735.0600751046,22454.280358807,20459.4514639423,21337.3134289577,21255.6902328801,19968.3828500977,20872.1542357098,20890.7753432715,NA,NA,NA,NA,NA,NA,NA,NA
"81",27012.0305157973,24849.6982223522,NA,25717.7462360774,26029.5425386408,26976.2199030943,26149.9718715255,26807.5242054093,26354.1544259645,26567.8984806808,27688.907696394,27630.5362557841,29136.4833312571,28260.7920079663,28665.4789514523,NA,NA,NA,NA,NA,NA,NA,NA
"82",19931.4499232121,17007.5901484966,NA,18976.1281903067,18453.0571633247,19319.1651643273,19561.1936132457,19249.4487703975,19463.9157548949,19775.4565583636,19190.5678004133,19805.4055230873,19829.4147374261,19532.3769245246,19878.2398264126,NA,NA,NA,NA,NA,NA,NA,NA
"83",20621.1526800281,19048.4321099338,NA,20277.8186333601,20323.4060881661,20384.9062543256,19495.1424630178,19924.3069327115,20792.9414281306,20993.2462749327,20192.3598193835,19784.0290443941,19818.8163212763,20363.0378371713,19866.5318607737,NA,NA,NA,NA,NA,NA,NA,NA
"84",13472.088543494,11903.8500245582,NA,13710.3671925225,13562.6659377636,13773.7735833313,14025.4131376095,13374.3390095923,15457.0292387105,14709.7895412547,14028.3448526805,14658.160502558,14816.8813161571,14211.8507638293,14602.5975270346,NA,NA,NA,NA,NA,NA,NA,NA
"85",16877.2485638545,15787.8923346848,NA,17949.1213647866,17433.6715269331,17133.2980411944,16469.9012477443,17093.6117083191,17086.8805474274,17857.2402615319,17664.8046174617,17956.6348128907,17309.9298406097,18244.7360269146,18150.4073000965,NA,NA,NA,NA,NA,NA,NA,NA
"86",20366.816883473,17375.0254576352,NA,19422.1270374931,18102.0520986518,19027.7710932185,17853.3313774663,18742.7554571657,19855.9312197776,17892.4599740178,18290.4866067199,17936.0022669484,17621.5386538429,17822.7315816263,17799.9820912782,NA,NA,NA,NA,NA,NA,NA,NA
"87",22845.2276108425,22218.2841385115,NA,23545.9871325618,23102.2458410671,24069.1195768913,23363.3456617105,23854.4127058309,25954.8886466731,26450.5918506436,25979.9077329329,26270.297163814,25348.760269319,25555.0683965378,26280.5021289335,NA,NA,NA,NA,NA,NA,NA,NA
"88",21001.8514927682,17785.9737911044,NA,19977.2407180295,19850.3621312245,19937.4342473314,19714.0568746786,20212.2301242055,20563.4035855828,19988.1172222321,20938.3634176796,21345.7174690435,21418.4846356426,21829.9311017441,21438.2571696011,NA,NA,NA,NA,NA,NA,NA,NA
"89",23821.5479663552,22125.9712660088,NA,23400.488209606,24243.9480193915,25050.346384693,23978.4717523013,24391.5586682555,26076.2416106771,27535.907517459,26830.7482503347,27059.1086547445,28294.9232661357,27911.3439299193,27462.1104361338,NA,NA,NA,NA,NA,NA,NA,NA
"90",22972.752896725,20417.9668428776,NA,21347.3836171755,21315.7178303379,21907.5526453257,20161.0038814446,22735.0600751046,22454.280358807,20459.4514639423,21337.3134289577,21255.6902328801,19968.3828500977,20872.1542357098,20890.7753432715,NA,NA,NA,NA,NA,NA,NA,NA
"91",27012.0305157973,24849.6982223522,NA,25717.7462360774,26029.5425386408,26976.2199030943,26152.8383571761,26807.5242054093,26354.1544259645,26567.8984806808,27688.907696394,27630.5362557841,29136.4833312571,28260.7920079663,28665.4789514523,NA,NA,NA,NA,NA,NA,NA,NA
"92",19931.4499232121,17007.5901484966,NA,18976.1281903067,18453.0571633247,19319.1651643273,19561.1936132457,19249.4487703975,19463.9157548949,19775.4565583636,19190.5678004133,19805.4055230873,19829.4147374261,19532.3769245246,19878.2398264126,NA,NA,NA,NA,NA,NA,NA,NA
